"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C2,C3,C4,C5,C15,C8,C11";"C_1206_HandSoldering";8;"0.1uF";;;
2;"CON1";"BARREL_JACK";1;"BARREL_JACK";;;
3;"D1,D2";"Diode_DO-35_SOD27_Horizontal_RM10";2;"DIODE";;;
4;"J1";"DB15FD";1;"DB15";;;
5;"J2";"DB25FD";1;"DB25";;;
6;"J3,J4,J5";"SMA_F_RA";3;"SMA";;;
7;"P1,P2,P3,P4";"Pin_Header_Straight_1x03";4;"CONN_01X03";;;
8;"P5,P6,P7";"Pin_Header_Straight_2x04";3;"CONN_02X04";;;
9;"Q1,Q2";"SOT-23";2;"2N7002";;;
10;"R1,R2,R3,R4,R5,R6";"R_1206_HandSoldering";6;"10K";;;
11;"R7,R8";"Resistor_Horizontal_RM7mm";2;"50";;;
12;"R9";"Resistor_Horizontal_RM7mm";1;"30K";;;
13;"R10";"Resistor_Horizontal_RM7mm";1;"1K";;;
14;"RV1,RV2";"Potentiometer_Bourns_3296P_3-8Zoll_Angular_ScrewFront";2;"10K";;;
15;"T1";"NetTie-III";1;"TRANSFO";;;
16;"C6,C9,C12";"C_1210_HandSoldering";3;"100uF";;;
17;"C7,C10,C13";"C_1210_HandSoldering";3;"1uF";;;
18;"C14";"C_1206";1;"0.1uF";;;
